[6], 601374, 0.607447, 1
[3], 450031, 0.454576, 2
[11], 364065, 0.367742, 3
[6 11], 324013, 0.327285, 3
[3 6], 265180, 0.267858, 3
[1], 197522, 0.199517, 4
[3 11], 161286, 0.162915, 4
[3 6 11], 143682, 0.145133, 4
[1 6], 132113, 0.133447, 4
[1 11], 91882, 0.092810, 4
[218], 88598, 0.089493, 5
[7], 86898, 0.087776, 6
[1 6 11], 86092, 0.086961, 6
[1 3], 84660, 0.085515, 6
[4], 78097, 0.078886, 7
[6 218], 77675, 0.078459, 7
[6 7], 73610, 0.074353, 7
[27], 72134, 0.072862, 8
[148], 69922, 0.070628, 9
[55], 65412, 0.066073, 10
[6 148], 64750, 0.065404, 10
[11 218], 61656, 0.062279, 10
[6 11 218], 60630, 0.061242, 10
[6 27], 59418, 0.060018, 10
[148 218], 58823, 0.059417, 10
[1 3 6], 57802, 0.058386, 10
[7 11], 57074, 0.057650, 10
[6 148 218], 56838, 0.057412, 10
[6 7 11], 55835, 0.056399, 10
[11 148], 55759, 0.056322, 10
[6 11 148], 55230, 0.055788, 10
[11 148 218], 50098, 0.050604, 10
[6 11 148 218], 49866, 0.050370, 10
[64], 48262, 0.048749, 11
[11 27], 46103, 0.046569, 11
[4 6], 45377, 0.045835, 11
[6 11 27], 44923, 0.045377, 11
[77], 43454, 0.043893, 12
[2], 42927, 0.043361, 13
[1 3 11], 40268, 0.040675, 13
[7 27], 40235, 0.040641, 13
[6 64], 39697, 0.040098, 13
[6 55], 38875, 0.039268, 13
[3 218], 38673, 0.039064, 13
[3 7], 38659, 0.039049, 13
[1 3 6 11], 37743, 0.038124, 13
[6 77], 37654, 0.038034, 13
[6 7 27], 37397, 0.037775, 13
[3 4], 35438, 0.035796, 13
[138], 35127, 0.035482, 14
[3 6 218], 33978, 0.034321, 14
[3 6 7], 32895, 0.033227, 14
[294], 32247, 0.032573, 15
[83], 32212, 0.032537, 16
[1 218], 32127, 0.032451, 16
[3 27], 32027, 0.032350, 16
[7 11 27], 30839, 0.031150, 16
[11 64], 30677, 0.030987, 16
[6 7 11 27], 30567, 0.030876, 16
[11 77], 30409, 0.030716, 16
[3 148], 30330, 0.030636, 16
[1 6 218], 30182, 0.030487, 16
[6 83], 29983, 0.030286, 16
[6 11 64], 29865, 0.030167, 16
